rerank_margin,rerank_guard,rerank_guard_label,original_minADE,original_minFDE,original_minMR,reranked_minADE,reranked_minFDE,reranked_minMR,rerank_top1_change_rate,case_count,case_original_mr,case_reranked_mr,case_mean_fde_delta,case_hit_to_miss_count,case_miss_to_hit_count,case_still_miss_improved_count,case_still_miss_worsened_count,case_still_miss_unchanged_count,case_still_hit_improved_count,case_still_hit_worsened_count,case_still_hit_unchanged_count
0.0,0.0,0.000,1.1986327171325684,2.575923442840576,0.42578125,1.1715694665908813,2.4931321144104004,0.44921875,0.21875,256,0.42578125,0.44921875,-0.08279132843017578,10,4,17,10,78,5,10,122
0.0,0.1,0.100,1.198632836341858,2.575923442840576,0.42578125,1.1715691089630127,2.4931321144104004,0.44921875,0.21875,256,0.42578125,0.44921875,-0.0827912762761116,10,4,17,10,78,5,10,122
0.0,0.2,0.200,1.198632836341858,2.575923442840576,0.42578125,1.1715694665908813,2.4931321144104004,0.44921875,0.21875,256,0.42578125,0.44921875,-0.0827912837266922,10,4,17,10,78,5,10,122
0.0,0.3,0.300,1.1986327171325684,2.5759239196777344,0.42578125,1.1701115369796753,2.490452766418457,0.44921875,0.21484375,256,0.42578125,0.44921875,-0.08547104895114899,10,4,17,10,78,5,9,123
0.05,0.0,0.000,1.1986327171325684,2.575923204421997,0.42578125,1.1545202732086182,2.469656229019165,0.4375,0.08984375,256,0.42578125,0.4375,-0.10626719892024994,4,1,11,4,93,1,2,140
0.05,0.1,0.100,1.1986327171325684,2.575923442840576,0.42578125,1.1545202732086182,2.469656229019165,0.4375,0.08984375,256,0.42578125,0.4375,-0.10626725852489471,4,1,11,4,93,1,2,140
0.05,0.2,0.200,1.198632836341858,2.575923442840576,0.42578125,1.1545205116271973,2.469655990600586,0.4375,0.08984375,256,0.42578125,0.4375,-0.10626721382141113,4,1,11,4,93,1,2,140
0.05,0.3,0.300,1.198632836341858,2.5759239196777344,0.42578125,1.1545203924179077,2.4696567058563232,0.4375,0.08984375,256,0.42578125,0.4375,-0.10626725852489471,4,1,11,4,93,1,2,140
0.1,0.0,0.000,1.198632836341858,2.575923442840576,0.42578125,1.180385947227478,2.520254611968994,0.42578125,0.03125,256,0.42578125,0.42578125,-0.055668797343969345,1,1,2,2,104,1,1,144
0.1,0.1,0.100,1.198632836341858,2.575923442840576,0.42578125,1.1803860664367676,2.520254611968994,0.42578125,0.03125,256,0.42578125,0.42578125,-0.05566881597042084,1,1,2,2,104,1,1,144
0.1,0.2,0.200,1.198632836341858,2.575923204421997,0.42578125,1.1803860664367676,2.520254611968994,0.42578125,0.03125,256,0.42578125,0.42578125,-0.05566880851984024,1,1,2,2,104,1,1,144
0.1,0.3,0.300,1.198632836341858,2.5759239196777344,0.42578125,1.1803860664367676,2.520254611968994,0.42578125,0.03125,256,0.42578125,0.42578125,-0.05566880851984024,1,1,2,2,104,1,1,144
0.15,0.0,0.000,1.198632836341858,2.5759236812591553,0.42578125,1.175087332725525,2.5135107040405273,0.421875,0.01171875,256,0.42578125,0.421875,-0.06241300329566002,0,1,1,1,106,0,0,147
0.15,0.1,0.100,1.198632836341858,2.575923442840576,0.42578125,1.1750872135162354,2.513510227203369,0.421875,0.01171875,256,0.42578125,0.421875,-0.062413010746240616,0,1,1,1,106,0,0,147
0.15,0.2,0.200,1.198633074760437,2.575923442840576,0.42578125,1.175087332725525,2.513510227203369,0.421875,0.01171875,256,0.42578125,0.421875,-0.06241300329566002,0,1,1,1,106,0,0,147
0.15,0.3,0.300,1.198632836341858,2.5759239196777344,0.42578125,1.175087332725525,2.5135107040405273,0.421875,0.01171875,256,0.42578125,0.421875,-0.062413014471530914,0,1,1,1,106,0,0,147
0.2,0.0,0.000,1.198632836341858,2.5759239196777344,0.42578125,1.1774765253067017,2.518322467803955,0.421875,0.00390625,256,0.42578125,0.421875,-0.05760165676474571,0,1,0,0,108,0,0,147
0.2,0.1,0.100,1.1986327171325684,2.5759239196777344,0.42578125,1.1774765253067017,2.518322467803955,0.421875,0.00390625,256,0.42578125,0.421875,-0.05760164558887482,0,1,0,0,108,0,0,147
0.2,0.2,0.200,1.198632836341858,2.5759236812591553,0.42578125,1.1774766445159912,2.518321990966797,0.421875,0.00390625,256,0.42578125,0.421875,-0.05760165676474571,0,1,0,0,108,0,0,147
0.2,0.3,0.300,1.1986327171325684,2.5759239196777344,0.42578125,1.1774765253067017,2.518322229385376,0.421875,0.00390625,256,0.42578125,0.421875,-0.05760164558887482,0,1,0,0,108,0,0,147
